id,district,locality,families,households,population,male,female
202,Mahottari,Pipra  ,8514,6459,39500,19764,19736
203,Mahottari,Ramgopalpur ,6921,5630,36594,18240,18354
204,Mahottari,Samsi  ,7100,5478,38676,18818,19858
205,Mahottari,Sonama  ,9252,7524,51736,26647,25089
206,Sarlahi,Bagmati ,10785,9960,45459,22454,23005
207,Sarlahi,Balara ,9118,6760,47602,24635,22967
208,Sarlahi,Barahathawa ,16257,13540,83257,42271,40986
209,Sarlahi,Basbariya  ,4675,3908,26406,13495,12911
210,Sarlahi,Bishnu  ,4784,3587,25870,13350,12520
211,Sarlahi,Bramhapuri  ,5383,4048,27878,13831,14047
212,Sarlahi,Chakraghatta  ,5041,4150,29166,15057,14109
213,Sarlahi,Chandranagar  ,6808,5320,37517,19111,18406
214,Sarlahi,Dhankaul  ,5121,4077,28500,14688,13812
215,Sarlahi,Godaita ,9510,7919,54346,27841,26505
216,Sarlahi,Haripur ,8445,7041,43609,21546,22063
217,Sarlahi,Haripurwa ,6854,5210,36523,18469,18054
218,Sarlahi,Hariwan ,11120,9984,51333,25283,26050
219,Sarlahi,Ishworpur ,13776,11907,68626,34124,34502
220,Sarlahi,Kabilasi ,8150,6702,44688,22487,22201
221,Sarlahi,Kaudena  ,5805,4478,29226,14638,14588
222,Sarlahi,Lalbandi ,15960,13905,67507,33555,33952
223,Sarlahi,Malangawa ,10305,7918,53204,27167,26037
224,Sarlahi,Parsa  ,4656,3625,24039,12262,11777
225,Sarlahi,Ramnagar  ,5853,4373,31687,16335,15352
226,Rautahat,Baudhimai ,6091,4899,39348,20260,19088
227,Rautahat,Brindaban ,8237,6751,50144,24994,25150
228,Rautahat,Chandrapur ,17237,15034,83350,41245,42105
229,Rautahat,Dewahhi Gonahi ,6340,4990,38808,19561,19247
230,Rautahat,Durga Bhagwati  ,4136,3369,23226,11809,11417
231,Rautahat,Gadhimai ,7850,6306,49642,25191,24451
232,Rautahat,Garuda ,9765,7796,60009,30685,29324
